Date,Open,High,Low,Close,Volume,Adj Close
2014-03-18,386.28,391.35,384.14,389.37,109534400,389.37
2014-03-17,383.43,388.34,382.73,386.92,90990400,386.92
2014-03-14,383.41,383.89,379.80,382.65,151840900,382.65
2014-03-13,392.04,392.04,386.06,386.06,99311800,386.06
2014-03-12,391.95,392.54,388.51,391.41,95306500,391.41
2014-03-11,394.59,396.34,392.58,394.29,84611600,394.29
2014-03-10,395.49,399.06,392.01,393.40,96464700,393.40
2014-03-07,399.63,400.93,396.00,396.28,109070200,396.28
2014-03-06,399.56,400.83,398.58,400.06,92635900,400.06
2014-03-05,398.38,399.53,397.56,398.62,85466900,398.62
2014-03-04,392.46,398.89,392.31,398.73,114857500,398.73
2014-03-03,392.14,394.00,386.66,388.19,146924300,388.19
2014-02-28,398.89,399.77,396.61,398.54,86478100,398.54
2014-02-27,398.76,400.17,394.84,398.28,99536500,398.28
2014-02-26,400.91,401.48,397.32,398.64,91268800,398.64
2014-02-25,400.90,401.03,398.58,400.77,87132900,400.77
2014-02-24,399.57,401.76,398.80,401.76,111984200,401.76
2014-02-21,400.22,400.89,399.43,400.36,97100200,400.36
2014-02-20,397.04,398.76,395.78,398.76,115999400,398.76
2014-02-19,400.98,402.36,399.74,401.54,98511100,401.54
2014-02-18,402.09,402.46,399.62,401.62,90100400,401.62
2014-02-17,400.01,401.82,399.64,401.24,61210200,401.24
2014-02-14,397.55,399.64,397.42,398.95,78995300,398.95
2014-02-13,396.94,397.52,394.77,397.00,91933700,397.00
2014-02-12,396.39,399.53,396.22,397.42,153180400,397.42
2014-02-11,391.07,394.96,390.59,394.96,92426900,394.96
2014-02-10,390.80,391.06,388.80,389.64,91561800,389.64
2014-02-07,389.52,391.11,387.68,389.54,136668600,389.54
2014-02-06,384.80,389.67,383.51,388.41,118451900,388.41
2014-02-05,381.75,384.61,380.96,382.65,119588300,382.65
2014-02-04,380.57,384.26,379.51,382.98,173334600,382.98
2014-02-03,385.86,388.54,383.28,383.63,137213900,383.63
2014-01-31,388.72,389.09,381.72,386.85,123710100,386.85
2014-01-30,388.77,392.11,386.38,389.61,127927000,389.61
2014-01-29,395.35,396.51,384.68,389.33,131908800,389.33
2014-01-28,391.88,393.14,390.22,392.23,111529100,392.23
2014-01-27,392.77,393.89,389.82,390.79,124849800,390.79
2014-01-24,404.17,404.98,393.54,393.85,139983700,393.85
2014-01-23,405.93,408.10,403.14,403.89,99214600,403.89
2014-01-22,406.92,408.37,405.47,407.45,101324600,407.45
2014-01-21,408.43,408.81,404.26,405.19,101069100,405.19
2014-01-20,407.18,408.03,406.54,408.00,70342000,408.00
2014-01-17,404.85,408.55,404.85,408.26,123338600,408.26
2014-01-16,408.51,408.72,407.08,407.59,122942600,407.59
